,comments
0,看上去不错啊
1,嫌尴尬可以不看啊，为什么继续看，让自己更尴尬？
2,本来就垃圾
3,期待
4,这个是个日本演员......
5,诺澜！！！
6,预告片满分
7,Hail海澜之家
8,那诺澜怎么办？
9,汉化公寓
10,大三了
11,八戒！
12,是不是说。。。
13,我觉得还可以啊
14,五年级到大二
15,挺好的
16,高一了
17,博三了
18,高一到大学毕业四年
19,曾小贤都变客串了，有P的料
20,听到最终集，不知道为什么笑不出来
21,哈哈哈哈
22,哈哈哈哈哈哈官方吐槽
23,大一了
24,爱乐公寓？
25,高三了
26,哇
27,高四了
28,卧槽！
29,ohhhhhhhhhhhhhhhhhh
30,研2了
31,曾小贤变客串，所以胡一菲和空气谈恋爱？
32,毕业2年了
33,雨墨好漂亮
34,高一了
35,羽墨
36,太尬了吧
37,第四季的时候，我初二，现在，我大一了
38,小V
39,印度拍的？
40,小学二年级到高二
41,高三了
42,高一了
43,！！！！！！！娄艺潇
44,我觉得OK啊，就像他们说的，关谷悠悠自己选择不出演
45,研一了
46,高三了
47,研一了
48,大一了
49,炸弹秀
50,啊啊啊啊羽墨
51,官方吐槽最为致命！！！
52,道德绑架？
53,啊！！！！诺澜
54,快停止你们的迪士尼行为
55,纳尼？？孩纸？哪来的！！
56,大一了
57,大四毕业了
58,卧槽
59,三年级到高二！
60,尴尬癌都犯了
61,md   30岁了
62,Wocc
63,官方吐槽最为致命
64,高三了
65,高三
66,工作了
67,那就别拍了
68,展博也没了
69,尬尬尬
70,悲惨世界
71,李佳航！！！！
72,大三了
73,大一了
74,其实我觉得挺真诚的
75,大三了
76,纳尼！！！！！！！！！！啊啊啊
77,高三了
78,诺澜比一菲
79,垮掉
80,真的拍得好
81,啊！！！！！！羽墨回来了
82,诺澜比一菲大噢
83,好啊啊啊啊啊
84,整段垮掉
85,好与不好只想认真看完
86,一叽咕
87,好像悲惨世界舞台剧啊
88,原来你也知道2分多啊！还不努力一下
89,你否认自己的青春 有意思吗
90,真的好棒！！！
91,大一啦
92,展博呢
93,硕一了
94,LALALAN+马戏之王。。。
95,这么多年，他们好像没有变老一样。
96,泪目
97,ohhhh
98,好沙雕！还差个
99,大二了
100,一直等一
101,跟风可太可靠了
102,他来了他来了
103,哈哈哈哈这很大师兄
104,研一了
105,初三了
106,一菲好美啊
107,前方注入灵魂
108,高二了
109,啊啊啊啊啊
110,官方吐槽！？？
111,都打工了，爱5终于有影了。
112,大二了
113,太棒了！
114,所有道理不用你给我讲，我都懂，但我还是要看
115,还是先看两集再说吧
116,人生导师!全体起立!!!!!
117,大二了
118,OHHHHHHHHHHHH!
119,高一了
120,大二了
121,终于有新背景了
122,看样子王传君不会上场了，悠悠雪藏！
123,大三啊啊啊
124,益达！！！
125,忙？ 咖位大了  请不起了罢了
126,牛批啊
